region,perticipation,input,output,water_level_difference,effective_store,store_amount,water_level
33550.5,7.2,58.4,151.1,-0.12,22479.4,0.67,157.03
33550.5,0.6,58.87,151.27,-0.11,22379.26,0.667,156.9
33550.5,14,82.25,151.45,-0.12,22317.8,0.6652,156.82
33550.5,0.7,74.46,151.16,-0.07,22233.47,0.6627,156.71
33550.5,0.1,58.36,180.66,-0.11,22111.14,0.659,156.55
33550.5,0.1,49.12,193.92,-0.16,21974.03,0.655,156.37
33550.5,0,43.65,210.45,-0.19,21822.32,0.6504,156.17
33550.5,0.2,52.61,211.11,-0.22,21656.21,0.6455,155.95
33550.5,0.1,46.39,211.59,-0.21,21490.95,0.6406,155.73
33550.5,0,40.28,212.18,-0.22,21326.51,0.6357,155.51
33550.5,0,47.16,195.86,-0.22,21162.89,0.6308,155.29
33550.5,7.7,55.41,225.61,-0.2,21014.86,0.6264,155.09
33550.5,21.6,71.4,226.2,-0.22,20859.95,0.6217,154.88
33550.5,10.4,78.18,107.68,-0.16,20837.85,0.6211,154.85
33550.5,29.2,149.51,259.71,-0.18,20683.49,0.6165,154.64
33550.5,2.3,116.67,197.37,-0.01,20617.53,0.6145,154.55
33550.5,8.2,87.62,168.02,-0.14,20537.06,0.6121,154.44
33550.5,7.8,89.37,155.17,-0.11,20464.04,0.6099,154.34
33550.5,4.9,97.22,155.52,-0.08,20405.73,0.6082,154.26
33550.5,6.3,82.79,155.59,-0.1,20332.97,0.606,154.16
33550.5,0.2,68.37,155.47,-0.13,20245.83,0.6034,154.04
33550.5,0.8,54.29,155.79,-0.13,20151.6,0.6006,153.91
33550.5,14.5,54.41,155.71,-0.14,20050.33,0.5976,153.77
33550.5,4,76.81,156.21,-0.12,19970.94,0.5953,153.66
33550.5,2.9,70.21,156.61,-0.11,19877.3,0.5925,153.53
33550.5,6.6,63.55,156.95,-0.13,19791.06,0.5899,153.41
33550.5,9.2,78.04,156.94,-0.13,19712.16,0.5875,153.3
33550.5,21,142.82,157.22,-0.09,19690.67,0.5869,153.27
33550.5,1.3,142.72,157.02,0.02,19683.5,0.5867,153.26
33550.5,66.5,422.73,156.93,0.06,19920.49,0.5937,153.59
33550.5,17,510.77,156.17,0.57,20289.38,0.6047,154.1
33550.5,0,721.55,687.35,0.7,28152.38,0.8391,163.98
33550.5,0,721.55,687.35,0.7,28152.38,0.8391,163.98
33550.5,11.8,315.47,155.37,0.31,20449.46,0.6095,154.32
33550.5,7.3,264.99,155.39,0.18,20566.3,0.613,154.48
33550.5,0,169.72,155.12,0.09,20588.24,0.6136,154.51
33550.5,0,133.26,155.16,-0.01,20558.99,0.6128,154.47
33550.5,1.3,97.06,155.56,-0.06,20507.83,0.6113,154.4
33550.5,0,97.18,155.48,-0.08,20442.16,0.6093,154.31
33550.5,10.1,97.24,155.54,-0.09,20391.17,0.6078,154.24
33550.5,35.8,155.65,155.65,-0.06,20383.88,0.6076,154.23
33550.5,82.8,904.65,155.25,0.29,21081.39,0.6283,155.18
33550.5,42.8,994.03,153.03,1.28,21913.26,0.6531,156.29
33550.5,0.2,834.71,151.21,1.14,22649.61,0.6751,157.25
33550.5,2.5,345.09,150.69,0.47,22851.66,0.6811,157.51
33550.5,0,150.26,62.3,0.15,22914.03,0.683,157.59
33550.5,3.7,150.43,150.43,0.03,22914.03,0.683,157.59
33550.5,22.2,189.18,150.08,0.03,22953.06,0.6841,157.64
33550.5,19.3,275.22,150.12,0.11,23078.19,0.6879,157.8
33550.5,0,196.96,149.96,0.11,23133.04,0.6895,157.87
33550.5,0.1,150.13,150.13,0.02,23125.2,0.6893,157.86
33550.5,0,118.77,150.07,-0.02,23101.69,0.6886,157.83
33550.5,0,103.15,150.15,-0.06,23046.87,0.6869,157.76
