region,perticipation,input,output,water_level_difference,effective_store,store_amount,StnPres,Temperature,RH,water_level
19912.4,1.2,139.22,139.05,0,19506.61,0.9796,998.6,15.4,83,244.53
19912.4,0,130.62,233.52,-0.12,19515.19,0.9801,999.1,13.9,79,244.54
19912.4,0,159.88,202.64,-0.05,19609.71,0.9848,995.3,17.6,75,244.65
19912.4,2.3,145.22,205.36,-0.07,19661.39,0.9874,991.8,17.5,86,244.71
19912.4,2.4,151.79,186.01,-0.04,19713.16,0.99,990.9,17,87,244.77
19912.4,0,149.94,115.12,0.04,19747.73,0.9917,992.5,16,69,244.81
19912.4,0.1,170.72,187.74,-0.02,19704.53,0.9896,993.1,15.8,68,244.76
19912.4,0.6,171.37,153.92,0.02,19730.44,0.9909,992.5,14.6,89,244.79
19912.4,0.6,186.35,237.93,-0.06,19721.8,0.9904,994.8,14.1,87,244.78
19912.4,1,188.47,240.22,-0.06,19765.03,0.9926,995.9,12.7,67,244.83
19912.4,0.3,240.02,239.85,0,19816.98,0.9952,993,15,67,244.89
19912.4,6,226.03,243.14,-0.02,19816.98,0.9952,991,16.9,79,244.89
19912.4,7.3,222.15,213.33,0.01,19842.98,0.9965,988.5,19.4,75,244.92
19912.4,0,617.15,616.98,0,19912.45,1,991.6,13.3,96,245
19912.4,0,486.13,615.9,-0.15,19790.99,0.9939,993.7,11.7,81,244.86
19912.4,0,378.94,602.81,-0.26,19575.3,0.9831,997.1,13.6,73,244.61
19912.4,27.1,563.15,742.86,-0.21,19369.69,0.9727,998.3,15.3,45,244.37
19912.4,2.3,719.31,375.61,0.4,19713.16,0.99,997.2,17.7,51,244.77
19912.4,0.3,471.8,211.3,0.3,19982.07,1,995.1,19.6,60,245.08
19912.4,2.6,397.96,336.62,0.07,20043.12,1,992.4,21.2,60,245.15
19912.4,9.9,349.61,436.53,-0.1,19964.65,1,990.3,21.9,69,245.06
19912.4,2.8,371.84,380.39,-0.01,19947.24,1,989.7,22.5,80,245.04
19912.4,3.3,342.42,316.07,0.03,19973.36,1,989.3,23.6,76,245.07
19912.4,8.5,353.88,345.07,0.01,19982.07,1,990.2,23.3,62,245.08
19912.4,25.4,533.5,472.24,0.07,20043.12,1,989.6,23.6,73,245.15
19912.4,6.5,486.28,521.01,-0.04,20008.22,1,989.4,24.2,81,245.11
19912.4,2.1,427.38,444.66,-0.02,19982.07,1,988.8,24.5,81,245.08
19912.4,0.6,377.99,386.46,-0.01,19973.36,1,990.7,24.9,82,245.07
19912.4,1.1,335.93,353.2,-0.02,19973.36,1,992.5,22.7,86,245.07
19912.4,12.8,357.21,418.03,-0.07,19895.07,0.9991,991.6,22.4,81,244.98
19912.4,1.9,321.1,303.56,0.02,19929.84,1,988.4,24.4,79,245.02
19912.4,10.7,345.75,258.48,0.1,20008.22,1,978.9,27.7,72,245.11
19912.4,0.4,327.5,309.88,0.02,20025.67,1,978.9,24.8,91,245.13
19912.4,0,276.7,259.07,0.02,20043.12,1,981.2,23.3,97,245.15
19912.4,2,272.99,290.18,-0.02,20025.67,1,982.9,24.4,96,245.13
19912.4,1.7,257.04,230.69,0.03,20060.59,1,985.7,25.5,91,245.17
